WordNo,Meaning,Word,LangCode,LangName
41,nose,sane,hdy,HADIYYA
43,tooth,"ink""e",hdy,HADIYYA
44,tongue,alabo,hdy,HADIYYA
47,knee,gurubo,hdy,HADIYYA
48,hand,aNa,hdy,HADIYYA
51,breast,anuna,hdy,HADIYYA
53,liver,afare,hdy,HADIYYA
54,drink,ag,hdy,HADIYYA
57,see,mo7,hdy,HADIYYA
58,hear,"maC""es",hdy,HADIYYA
61,die,leh,hdy,HADIYYA
66,come,war,hdy,HADIYYA
72,sun,elinCo,hdy,HADIYYA
74,star,bolanka,hdy,HADIYYA
75,water,wo7o,hdy,HADIYYA
77,stone,kina,hdy,HADIYYA
82,fire,gira,hdy,HADIYYA
85,path,gogo,hdy,HADIYYA
86,mountain,duna,hdy,HADIYYA
92,night,himo,hdy,HADIYYA
95,full,woma,hdy,HADIYYA
96,new,hareCo,hdy,HADIYYA
100,name,suma,hdy,HADIYYA
1,I,ani,sid,SIDAMO
2,you,ati,sid,SIDAMO
3,we,ninke,sid,SIDAMO
11,one,mite,sid,SIDAMO
12,two,lame,sid,SIDAMO
18,person,manCo,sid,SIDAMO
19,fish,"k""ilt""ime",sid,SIDAMO
21,dog,waSiCo,sid,SIDAMO
22,louse,ibiCo,sid,SIDAMO
23,tree,"hak""e",sid,SIDAMO
25,leaf,daro,sid,SIDAMO
28,skin,goga,sid,SIDAMO
30,blood,munde,sid,SIDAMO
31,bone,"mik""iCo",sid,SIDAMO
34,horn,buda,sid,SIDAMO
39,ear,"maC""a",sid,SIDAMO
40,eye,ile,sid,SIDAMO
41,nose,sano,sid,SIDAMO
43,tooth,hinko,sid,SIDAMO
44,tongue,arabo,sid,SIDAMO
47,knee,gulube,sid,SIDAMO
48,hand,aNa,sid,SIDAMO
51,breast,ununa,sid,SIDAMO
53,liver,afale,sid,SIDAMO
54,drink,ag,sid,SIDAMO
57,see,la7,sid,SIDAMO
58,hear,"maC""iS",sid,SIDAMO
61,die,re,sid,SIDAMO
66,come,dag,sid,SIDAMO
72,sun,ariSo,sid,SIDAMO
74,star,bedako,sid,SIDAMO
75,water,wa,sid,SIDAMO
77,stone,kinCo,sid,SIDAMO
82,fire,gira,sid,SIDAMO
85,path,dogo,sid,SIDAMO
86,mountain,garo,sid,SIDAMO
92,night,haSa,sid,SIDAMO
95,full,woma,sid,SIDAMO
96,new,haro,sid,SIDAMO
100,name,suma,sid,SIDAMO
1,I,anu,aar,AFAR
2,you,atu,aar,AFAR
3,we,nanu,aar,AFAR
11,one,inki,aar,AFAR
12,two,lamay,aar,AFAR
18,person,saXadatu,aar,AFAR
19,fish,kulunt~a,aar,AFAR
21,dog,kuta,aar,AFAR
22,louse,inkaXE,aar,AFAR
23,tree,hada,aar,AFAR
25,leaf,ayufta,aar,AFAR
28,skin,arab,aar,AFAR
30,blood,Xabal,aar,AFAR
31,bone,lafa,aar,AFAR
34,horn,gasa,aar,AFAR
39,ear,ati,aar,AFAR
40,eye,int~i,aar,AFAR
41,nose,san,aar,AFAR
43,tooth,modina,aar,AFAR
44,tongue,araba,aar,AFAR
47,knee,gulub,aar,AFAR
